duration_in_minutes,total_cases_produced_for_day,total_cases_shipped_for_day,line_LOU1,line_LOU2,line_LOU3,line_LOU4,line_LOU5,item_type_SHRF,item_type_LABL,storage_location_type_RSR,storage_location_type_SSR
18.22,217783.0,204536,0,1,0,0,0,1,0,0,1
18.22,65442.0,204536,0,1,0,0,0,1,0,0,1
18.22,20840.0,204536,0,1,0,0,0,1,0,0,1
18.22,380019.0,204536,0,1,0,0,0,1,0,0,1
18.22,10870.0,204536,0,1,0,0,0,1,0,0,1
8.9,107705.0,256696,0,0,1,0,0,1,0,1,0
8.9,80561.0,256696,0,0,1,0,0,1,0,1,0
8.9,78360.0,256696,0,0,1,0,0,1,0,1,0
8.9,128212.0,256696,0,0,1,0,0,1,0,1,0
6.12,107705.0,256696,0,1,0,0,0,1,0,1,0
6.12,80561.0,256696,0,1,0,0,0,1,0,1,0
6.12,78360.0,256696,0,1,0,0,0,1,0,1,0
6.12,128212.0,256696,0,1,0,0,0,1,0,1,0
12.85,107705.0,256696,0,1,0,0,0,1,0,0,1
12.85,80561.0,256696,0,1,0,0,0,1,0,0,1
12.85,78360.0,256696,0,1,0,0,0,1,0,0,1
12.85,128212.0,256696,0,1,0,0,0,1,0,0,1
8.58,107705.0,256696,0,1,0,0,0,1,0,0,1
8.58,80561.0,256696,0,1,0,0,0,1,0,0,1
8.58,78360.0,256696,0,1,0,0,0,1,0,0,1
8.58,128212.0,256696,0,1,0,0,0,1,0,0,1
23.78,61920.0,264280,0,1,0,0,0,1,0,0,1
23.78,59437.0,264280,0,1,0,0,0,1,0,0,1
23.78,8957.0,264280,0,1,0,0,0,1,0,0,1
23.78,560632.0,264280,0,1,0,0,0,1,0,0,1
10.25,61920.0,264280,0,1,0,0,0,1,0,1,0
10.25,59437.0,264280,0,1,0,0,0,1,0,1,0
10.25,8957.0,264280,0,1,0,0,0,1,0,1,0
10.25,560632.0,264280,0,1,0,0,0,1,0,1,0
21.47,61920.0,264280,0,1,0,0,0,1,0,0,1
21.47,59437.0,264280,0,1,0,0,0,1,0,0,1
21.47,8957.0,264280,0,1,0,0,0,1,0,0,1
21.47,560632.0,264280,0,1,0,0,0,1,0,0,1
29.9,61920.0,264280,0,1,0,0,0,1,0,0,1
29.9,59437.0,264280,0,1,0,0,0,1,0,0,1
29.9,8957.0,264280,0,1,0,0,0,1,0,0,1
29.9,560632.0,264280,0,1,0,0,0,1,0,0,1
5.45,141351.0,301720,0,0,1,0,0,1,0,1,0
5.45,106090.0,301720,0,0,1,0,0,1,0,1,0
5.45,63723.0,301720,0,0,1,0,0,1,0,1,0
5.45,579744.0,301720,0,0,1,0,0,1,0,1,0
21.42,141351.0,301720,0,1,0,0,0,1,0,1,0
21.42,106090.0,301720,0,1,0,0,0,1,0,1,0
21.42,63723.0,301720,0,1,0,0,0,1,0,1,0
21.42,579744.0,301720,0,1,0,0,0,1,0,1,0
11.15,141351.0,301720,0,1,0,0,0,1,0,1,0
11.15,106090.0,301720,0,1,0,0,0,1,0,1,0
11.15,63723.0,301720,0,1,0,0,0,1,0,1,0
11.15,579744.0,301720,0,1,0,0,0,1,0,1,0
6.22,6571.0,253932,0,1,0,0,0,1,0,0,1
6.22,50680.0,253932,0,1,0,0,0,1,0,0,1
6.22,977152.0,253932,0,1,0,0,0,1,0,0,1
6.22,72463.0,253932,0,1,0,0,0,1,0,0,1
8.57,6571.0,253932,0,1,0,0,0,1,0,1,0
8.57,50680.0,253932,0,1,0,0,0,1,0,1,0
8.57,977152.0,253932,0,1,0,0,0,1,0,1,0
8.57,72463.0,253932,0,1,0,0,0,1,0,1,0
14.93,0.0,178764,0,1,0,0,0,1,0,0,1
14.93,70092.0,178764,0,1,0,0,0,1,0,0,1
14.93,73836.0,178764,0,1,0,0,0,1,0,0,1
14.93,1075712.0,178764,0,1,0,0,0,1,0,0,1
13.83,0.0,141242,0,0,1,0,0,1,0,0,1
13.83,3210.0,141242,0,0,1,0,0,1,0,0,1
13.83,468864.0,141242,0,0,1,0,0,1,0,0,1
13.83,36781.0,141242,0,0,1,0,0,1,0,0,1
28.65,17793.0,204096,0,1,0,0,0,1,0,1,0
28.65,89654.0,204096,0,1,0,0,0,1,0,1,0
28.65,159334.0,204096,0,1,0,0,0,1,0,1,0
8.13,17793.0,204096,0,1,0,0,0,1,0,1,0
8.13,89654.0,204096,0,1,0,0,0,1,0,1,0
8.13,159334.0,204096,0,1,0,0,0,1,0,1,0
12.5,17793.0,204096,0,1,0,0,0,1,0,0,1
12.5,89654.0,204096,0,1,0,0,0,1,0,0,1
12.5,159334.0,204096,0,1,0,0,0,1,0,0,1
8.75,105589.0,227180,0,1,0,0,0,1,0,0,1
8.75,37886.0,227180,0,1,0,0,0,1,0,0,1
8.75,283321.0,227180,0,1,0,0,0,1,0,0,1
6.55,105589.0,227180,0,1,0,0,0,1,0,0,1
6.55,37886.0,227180,0,1,0,0,0,1,0,0,1
6.55,283321.0,227180,0,1,0,0,0,1,0,0,1
19.07,0.0,200872,0,1,0,0,0,1,0,0,1
19.07,45908.0,200872,0,1,0,0,0,1,0,0,1
19.07,51200.0,200872,0,1,0,0,0,1,0,0,1
19.07,989120.0,200872,0,1,0,0,0,1,0,0,1
19.07,69170.0,200872,0,1,0,0,0,1,0,0,1
11.55,0.0,200872,0,1,0,0,0,1,0,1,0
11.55,45908.0,200872,0,1,0,0,0,1,0,1,0
11.55,51200.0,200872,0,1,0,0,0,1,0,1,0
11.55,989120.0,200872,0,1,0,0,0,1,0,1,0
11.55,69170.0,200872,0,1,0,0,0,1,0,1,0
34.7,82659.0,268760,0,0,1,0,0,1,0,1,0
34.7,79405.0,268760,0,0,1,0,0,1,0,1,0
34.7,28457.0,268760,0,0,1,0,0,1,0,1,0
34.7,762432.0,268760,0,0,1,0,0,1,0,1,0
13.2,82659.0,268760,0,1,0,0,0,1,0,1,0
13.2,79405.0,268760,0,1,0,0,0,1,0,1,0
13.2,28457.0,268760,0,1,0,0,0,1,0,1,0
13.2,762432.0,268760,0,1,0,0,0,1,0,1,0
10.25,82659.0,268760,0,0,1,0,0,1,0,1,0
10.25,79405.0,268760,0,0,1,0,0,1,0,1,0
10.25,28457.0,268760,0,0,1,0,0,1,0,1,0
10.25,762432.0,268760,0,0,1,0,0,1,0,1,0
12.65,67710.0,177948,0,1,0,0,0,1,0,1,0
12.65,95307.0,177948,0,1,0,0,0,1,0,1,0
12.65,915200.0,177948,0,1,0,0,0,1,0,1,0
10.98,67710.0,177948,0,1,0,0,0,1,0,1,0
10.98,95307.0,177948,0,1,0,0,0,1,0,1,0
