ORG,Prod_Line,Date,Total_Cases_Produced
LOU,LOU2,3/12/2024,79405
LOU,LOU3,3/12/2024,28457
LOU,LOU4,3/12/2024,762432
LOU,LOU1,3/13/2024,18387
LOU,LOU2,3/13/2024,59455
LOU,LOU3,3/13/2024,35294
LOU,LOU4,3/13/2024,486189
LOU,LOU1,3/14/2024,118480
LOU,LOU2,3/14/2024,52553
LOU,LOU3,3/14/2024,72302
LOU,LOU4,3/14/2024,936672
LOU,LOU5,3/14/2024,114399
LOU,LOU1,3/15/2024,17479
LOU,LOU2,3/15/2024,89061
LOU,LOU3,3/15/2024,115331
LOU,LOU4,3/15/2024,934208
LOU,LOU1,3/16/2024,61543
LOU,LOU2,3/16/2024,48243
LOU,LOU4,3/16/2024,974305
LOU,LOU1,3/17/2024,84598
LOU,LOU2,3/17/2024,48901
LOU,LOU3,3/17/2024,60316
LOU,LOU4,3/17/2024,281248
LOU,LOU1,3/18/2024,27515
LOU,LOU2,3/18/2024,26884
LOU,LOU3,3/18/2024,91936
LOU,LOU4,3/18/2024,130294
LOU,LOU1,3/19/2024,77426
LOU,LOU2,3/19/2024,86985
LOU,LOU3,3/19/2024,106856
LOU,LOU4,3/19/2024,861274
LOU,LOU1,3/20/2024,83735
LOU,LOU2,3/20/2024,59555
LOU,LOU4,3/20/2024,289696
LOU,LOU5,3/20/2024,69959
LOU,LOU1,3/21/2024,36843
LOU,LOU2,3/21/2024,63379
LOU,LOU4,3/21/2024,728007
LOU,LOU1,3/22/2024,96939
LOU,LOU2,3/22/2024,78097
LOU,LOU3,3/22/2024,38680
LOU,LOU4,3/22/2024,157483
LOU,LOU1,3/23/2024,41192
LOU,LOU2,3/23/2024,50879
LOU,LOU3,3/23/2024,44676
LOU,LOU4,3/23/2024,85957
LOU,LOU1,3/24/2024,109269
LOU,LOU2,3/24/2024,66381
LOU,LOU3,3/24/2024,0
LOU,LOU4,3/24/2024,686752
LOU,LOU5,3/24/2024,169690
LOU,LOU2,3/25/2024,50438
LOU,LOU3,3/25/2024,20748
LOU,LOU4,3/25/2024,1168288
LOU,LOU1,3/26/2024,62543
LOU,LOU2,3/26/2024,66080
LOU,LOU3,3/26/2024,28380
LOU,LOU4,3/26/2024,299896
LOU,LOU1,3/27/2024,142897
LOU,LOU2,3/27/2024,32336
LOU,LOU3,3/27/2024,71780
LOU,LOU4,3/27/2024,762022
LOU,LOU2,3/28/2024,89806
LOU,LOU3,3/28/2024,62578
LOU,LOU4,3/28/2024,400224
LOU,LOU1,3/29/2024,109756
LOU,LOU2,3/29/2024,30174
LOU,LOU4,3/29/2024,775104
LOU,LOU1,3/30/2024,52045
LOU,LOU2,3/30/2024,100034
LOU,LOU3,3/30/2024,57819
LOU,LOU1,3/31/2024,49321
LOU,LOU2,3/31/2024,71092
LOU,LOU4,3/31/2024,721600
LOU,LOU5,3/31/2024,47873
LOU,LOU1,4/1/2024,59226
LOU,LOU2,4/1/2024,59492
LOU,LOU4,4/1/2024,781088
LOU,LOU1,4/2/2024,84823
LOU,LOU2,4/2/2024,29164
LOU,LOU3,4/2/2024,65846
LOU,LOU4,4/2/2024,842336
LOU,LOU1,4/3/2024,18688
LOU,LOU2,4/3/2024,73925
LOU,LOU3,4/3/2024,65268
LOU,LOU4,4/3/2024,956384
LOU,LOU5,4/3/2024,25327
LOU,LOU1,4/4/2024,178223
LOU,LOU2,4/4/2024,47901
LOU,LOU3,4/4/2024,50876
LOU,LOU4,4/4/2024,550880
LOU,LOU2,4/5/2024,51508
LOU,LOU3,4/5/2024,88410
LOU,LOU4,4/5/2024,478174
LOU,LOU5,4/5/2024,32716
LOU,LOU2,4/6/2024,59962
LOU,LOU3,4/6/2024,62920
LOU,LOU4,4/6/2024,318951
LOU,LOU5,4/6/2024,60601
LOU,LOU1,4/7/2024,20232
LOU,LOU2,4/7/2024,117982
LOU,LOU4,4/7/2024,377771
LOU,LOU5,4/7/2024,45736
LOU,LOU1,4/8/2024,147362
LOU,LOU2,4/8/2024,31580
LOU,LOU4,4/8/2024,409372
LOU,LOU5,4/8/2024,134660
LOU,LOU2,4/9/2024,57571
LOU,LOU3,4/9/2024,52510
LOU,LOU4,4/9/2024,237303
LOU,LOU1,4/10/2024,11574
LOU,LOU2,4/10/2024,41621
LOU,LOU3,4/10/2024,148702
LOU,LOU4,4/10/2024,361856
LOU,LOU1,4/11/2024,77834
LOU,LOU2,4/11/2024,121128
LOU,LOU4,4/11/2024,812416
LOU,LOU5,4/11/2024,27976
LOU,LOU1,4/12/2024,125064
LOU,LOU3,4/12/2024,105030
LOU,LOU4,4/12/2024,594771
LOU,LOU5,4/12/2024,45025
LOU,LOU1,4/13/2024,14299
LOU,LOU2,4/13/2024,101155
LOU,LOU4,4/13/2024,695200
LOU,LOU5,4/13/2024,27979
LOU,LOU1,4/14/2024,134969
LOU,LOU3,4/14/2024,35742
LOU,LOU4,4/14/2024,1074110
LOU,LOU5,4/14/2024,87200
LOU,LOU3,4/15/2024,42126
LOU,LOU4,4/15/2024,362946
LOU,LOU1,4/16/2024,21994
LOU,LOU2,4/16/2024,36241
LOU,LOU3,4/16/2024,73426
LOU,LOU4,4/16/2024,1104745
LOU,LOU1,4/17/2024,123504
LOU,LOU2,4/17/2024,60415
LOU,LOU3,4/17/2024,83328
LOU,LOU2,4/18/2024,52411
LOU,LOU3,4/18/2024,21290
LOU,LOU4,4/18/2024,894099
LOU,LOU1,4/19/2024,81225
LOU,LOU2,4/19/2024,71588
LOU,LOU3,4/19/2024,33010
LOU,LOU4,4/19/2024,444576
LOU,LOU5,4/19/2024,110978
LOU,LOU1,4/20/2024,148650
LOU,LOU2,4/20/2024,60015
LOU,LOU3,4/20/2024,155148
LOU,LOU4,4/20/2024,464671
LOU,LOU2,4/21/2024,62861
LOU,LOU4,4/21/2024,122870
LOU,LOU1,4/22/2024,65157
LOU,LOU2,4/22/2024,74972
LOU,LOU3,4/22/2024,61494
LOU,LOU4,4/22/2024,73302
LOU,LOU1,4/23/2024,143380
LOU,LOU2,4/23/2024,85682
LOU,LOU3,4/23/2024,44000
LOU,LOU4,4/23/2024,38113
LOU,LOU2,4/24/2024,17496
LOU,LOU4,4/24/2024,150893
LOU,LOU1,4/25/2024,54500
LOU,LOU2,4/25/2024,82632
LOU,LOU3,4/25/2024,100250
LOU,LOU4,4/25/2024,375371
LOU,LOU5,4/25/2024,44851
LOU,LOU1,4/26/2024,56627
LOU,LOU2,4/26/2024,78836
LOU,LOU4,4/26/2024,720192
LOU,LOU1,4/27/2024,88602
LOU,LOU2,4/27/2024,10333
LOU,LOU3,4/27/2024,125482
LOU,LOU4,4/27/2024,692676
LOU,LOU1,4/28/2024,76010
LOU,LOU2,4/28/2024,80244
LOU,LOU4,4/28/2024,708576
LOU,LOU5,4/28/2024,79145
LOU,LOU1,4/29/2024,19837
LOU,LOU2,4/29/2024,44956
LOU,LOU3,4/29/2024,46200
LOU,LOU4,4/29/2024,401264
LOU,LOU1,4/30/2024,35849
LOU,LOU2,4/30/2024,40571
LOU,LOU3,4/30/2024,86518
LOU,LOU4,4/30/2024,466302
LOU,LOU1,5/1/2024,139668
LOU,LOU2,5/1/2024,57249
LOU,LOU4,5/1/2024,272448
LOU,LOU5,5/1/2024,26780
LOU,LOU2,5/2/2024,92253
LOU,LOU3,5/2/2024,41050
LOU,LOU4,5/2/2024,1171104
LOU,LOU5,5/2/2024,55750
LOU,LOU1,5/3/2024,78721
LOU,LOU2,5/3/2024,46327
LOU,LOU3,5/3/2024,37702
LOU,LOU4,5/3/2024,270336
LOU,LOU1,5/4/2024,71715
LOU,LOU2,5/4/2024,95024
LOU,LOU3,5/4/2024,129598
LOU,LOU5,5/4/2024,33786
LOU,LOU1,5/5/2024,99816
LOU,LOU2,5/5/2024,56192
LOU,LOU4,5/5/2024,106499
LOU,LOU1,5/6/2024,33738
LOU,LOU2,5/6/2024,22010
LOU,LOU1,5/7/2024,56037
LOU,LOU2,5/7/2024,85412
LOU,LOU4,5/7/2024,136656
LOU,LOU1,5/8/2024,88624
LOU,LOU2,5/8/2024,100130
LOU,LOU3,5/8/2024,56480
LOU,LOU4,5/8/2024,437451
LOU,LOU1,5/9/2024,41928
LOU,LOU2,5/9/2024,55393
LOU,LOU3,5/9/2024,81256
LOU,LOU4,5/9/2024,90680
LOU,LOU1,5/10/2024,175594
LOU,LOU2,5/10/2024,25390
LOU,LOU3,5/10/2024,112420
LOU,LOU4,5/10/2024,572757
LOU,LOU2,5/11/2024,28114
LOU,LOU4,5/11/2024,41449
LOU,LOU5,5/11/2024,24501
LOU,LOU4,5/12/2024,637120
LOU,LOU1,5/13/2024,48118
LOU,LOU2,5/13/2024,44662
LOU,LOU3,5/13/2024,123298
LOU,LOU4,5/13/2024,938784
LOU,LOU5,5/13/2024,89978
LOU,LOU1,5/14/2024,150979
LOU,LOU2,5/14/2024,55775
LOU,LOU4,5/14/2024,640992
LOU,LOU2,5/15/2024,74173
LOU,LOU3,5/15/2024,108550
LOU,LOU4,5/15/2024,275616
LOU,LOU1,5/16/2024,23636
LOU,LOU2,5/16/2024,63139
LOU,LOU4,5/16/2024,773421
LOU,LOU1,5/17/2024,106662
LOU,LOU2,5/17/2024,111606
LOU,LOU3,5/17/2024,103558
LOU,LOU4,5/17/2024,621447
LOU,LOU1,5/18/2024,25767
LOU,LOU2,5/18/2024,30225
LOU,LOU4,5/18/2024,1182460
LOU,LOU5,5/18/2024,43846
LOU,LOU1,5/19/2024,102070
LOU,LOU2,5/19/2024,56846
LOU,LOU3,5/19/2024,117280
LOU,LOU4,5/19/2024,352704
LOU,LOU5,5/19/2024,64433
LOU,LOU1,5/20/2024,13518
LOU,LOU2,5/20/2024,99018
LOU,LOU4,5/20/2024,33061
LOU,LOU1,5/21/2024,65860
LOU,LOU2,5/21/2024,21818
LOU,LOU3,5/21/2024,22864
LOU,LOU4,5/21/2024,190657
LOU,LOU5,5/21/2024,117458
LOU,LOU1,5/22/2024,67067
LOU,LOU2,5/22/2024,61134
LOU,LOU1,5/23/2024,62293
LOU,LOU2,5/23/2024,85806
LOU,LOU3,5/23/2024,21952
LOU,LOU4,5/23/2024,75979
LOU,LOU1,5/24/2024,48940
LOU,LOU2,5/24/2024,77252
LOU,LOU3,5/24/2024,211484
LOU,LOU4,5/24/2024,1071840
LOU,LOU5,5/24/2024,84208
LOU,LOU1,5/25/2024,132447
LOU,LOU2,5/25/2024,61050
LOU,LOU4,5/25/2024,416667
LOU,LOU2,5/26/2024,29832
LOU,LOU4,5/26/2024,247104
LOU,LOU1,5/27/2024,45381
LOU,LOU2,5/27/2024,25870
LOU,LOU4,5/27/2024,429187
LOU,LOU5,5/27/2024,90131
LOU,LOU1,5/28/2024,110664
LOU,LOU2,5/28/2024,97683
LOU,LOU3,5/28/2024,109802
LOU,LOU4,5/28/2024,1385935
LOU,LOU1,5/29/2024,11287
LOU,LOU2,5/29/2024,50927
LOU,LOU4,5/29/2024,412488
LOU,LOU1,5/30/2024,217783
LOU,LOU2,5/30/2024,65442
LOU,LOU3,5/30/2024,20840
LOU,LOU4,5/30/2024,380019
LOU,LOU5,5/30/2024,10870
LOU,LOU2,5/31/2024,51917
LOU,LOU3,5/31/2024,68150
LOU,LOU4,5/31/2024,924704
LOU,LOU5,5/31/2024,101178
LOU,LOU2,6/1/2024,63866
LOU,LOU3,6/1/2024,187432
LOU,LOU4,6/1/2024,365360
LOU,LOU1,6/2/2024,107705
LOU,LOU2,6/2/2024,80561
LOU,LOU4,6/2/2024,78360
LOU,LOU5,6/2/2024,128212
LOU,LOU1,6/3/2024,19306
LOU,LOU2,6/3/2024,61895
LOU,LOU4,6/3/2024,58723
LOU,LOU1,6/4/2024,61920
LOU,LOU2,6/4/2024,59437
LOU,LOU3,6/4/2024,8957
LOU,LOU4,6/4/2024,560632
LOU,LOU1,6/5/2024,141351
LOU,LOU2,6/5/2024,106090
LOU,LOU3,6/5/2024,63723
LOU,LOU4,6/5/2024,579744
LOU,LOU2,6/6/2024,6571
LOU,LOU3,6/6/2024,50680
LOU,LOU4,6/6/2024,977152
LOU,LOU5,6/6/2024,72463
LOU,LOU1,6/7/2024,54814
LOU,LOU2,6/7/2024,64857
LOU,LOU3,6/7/2024,92850
LOU,LOU4,6/7/2024,897600
LOU,LOU1,6/8/2024,128583
LOU,LOU2,6/8/2024,60025
LOU,LOU5,6/8/2024,56043
LOU,LOU1,6/9/2024,17793
LOU,LOU2,6/9/2024,89654
LOU,LOU3,6/9/2024,159334
LOU,LOU1,6/10/2024,105589
LOU,LOU2,6/10/2024,37886
LOU,LOU4,6/10/2024,283321
LOU,LOU1,6/11/2024,16199
LOU,LOU2,6/11/2024,64561
LOU,LOU4,6/11/2024,932659
LOU,LOU5,6/11/2024,69616
LOU,LOU1,6/12/2024,102256
LOU,LOU2,6/12/2024,70156
LOU,LOU3,6/12/2024,91670
LOU,LOU4,6/12/2024,1190627
LOU,LOU1,6/13/2024,77545
LOU,LOU2,6/13/2024,94699
LOU,LOU2,6/14/2024,81706
LOU,LOU3,6/14/2024,128646
LOU,LOU4,6/14/2024,529056
LOU,LOU1,6/15/2024,105712
LOU,LOU2,6/15/2024,31229
LOU,LOU4,6/15/2024,1602304
LOU,LOU5,6/15/2024,133048
LOU,LOU1,6/16/2024,66769
LOU,LOU2,6/16/2024,71812
LOU,LOU3,6/16/2024,56460
LOU,LOU4,6/16/2024,566201
LOU,LOU1,6/17/2024,119918
LOU,LOU2,6/17/2024,40874
LOU,LOU2,6/18/2024,68830
LOU,LOU3,6/18/2024,21047
LOU,LOU4,6/18/2024,533984
LOU,LOU1,6/19/2024,108036
LOU,LOU2,6/19/2024,51318
LOU,LOU3,6/19/2024,84426
LOU,LOU4,6/19/2024,941248
LOU,LOU1,6/20/2024,33652
LOU,LOU2,6/20/2024,60449
LOU,LOU4,6/20/2024,1105098
LOU,LOU5,6/20/2024,55827
LOU,LOU1,6/21/2024,222383
LOU,LOU2,6/21/2024,70718
LOU,LOU3,6/21/2024,34032
LOU,LOU4,6/21/2024,1227741
LOU,LOU2,6/22/2024,79843
LOU,LOU3,6/22/2024,47744
LOU,LOU2,6/23/2024,59918
LOU,LOU3,6/23/2024,36344
LOU,LOU5,6/23/2024,59082
LOU,LOU1,6/24/2024,48593
LOU,LOU2,6/24/2024,84107
LOU,LOU3,6/24/2024,159124
LOU,LOU4,6/24/2024,172896
LOU,LOU1,6/25/2024,46582
LOU,LOU2,6/25/2024,55472
LOU,LOU4,6/25/2024,301266
LOU,LOU1,6/26/2024,49208
LOU,LOU2,6/26/2024,63462
LOU,LOU4,6/26/2024,400139
LOU,LOU5,6/26/2024,70451
LOU,LOU1,6/27/2024,115206
LOU,LOU2,6/27/2024,74601
LOU,LOU4,6/27/2024,242892
LOU,LOU1,6/28/2024,16674
LOU,LOU2,6/28/2024,65342
LOU,LOU3,6/28/2024,109382
LOU,LOU4,6/28/2024,5066
LOU,LOU5,6/28/2024,44903
LOU,LOU1,6/29/2024,127648
LOU,LOU2,6/29/2024,115167
LOU,LOU3,6/29/2024,74030
LOU,LOU4,6/29/2024,251975
LOU,LOU5,6/29/2024,28851
LOU,LOU1,6/30/2024,31825
LOU,LOU2,6/30/2024,27861
LOU,LOU4,6/30/2024,965536
LOU,LOU5,6/30/2024,46767
LOU,LOU1,7/1/2024,145194
LOU,LOU2,7/1/2024,71009
LOU,LOU3,7/1/2024,39360
LOU,LOU4,7/1/2024,380864
LOU,LOU5,7/1/2024,0
LOU,LOU2,7/2/2024,91612
LOU,LOU3,7/2/2024,40928
LOU,LOU4,7/2/2024,405152
LOU,LOU5,7/2/2024,47037
LOU,LOU1,7/3/2024,51851
LOU,LOU2,7/3/2024,58392
LOU,LOU3,7/3/2024,20312
LOU,LOU4,7/3/2024,534041
LOU,LOU1,7/4/2024,97803
LOU,LOU2,7/4/2024,48363
LOU,LOU3,7/4/2024,21600
LOU,LOU4,7/4/2024,505977
LOU,LOU5,7/4/2024,16277
LOU,LOU2,7/5/2024,20505
LOU,LOU3,7/5/2024,55490
LOU,LOU4,7/5/2024,56524
LOU,LOU5,7/5/2024,74617
